frame,tx,ty,tz,status,reason,good_matches,pose_inliers,scale
0,0.00000000,0.00000000,0.00000000,init,,0,0,0.00000000
1,0.05528314,0.00247435,0.19678264,success,,447,46,0.20441565
2,0.10747695,-0.00511195,0.39412186,success,,424,33,0.20426578
3,0.10747695,-0.00511195,0.39412186,failure,recoverPose inliers too low (17 < 20),441,17,0.00000000
4,0.12378517,-0.00506628,0.59699540,success,,439,63,0.20352797
5,0.09946099,0.01341115,0.79763483,success,,455,49,0.20295138
6,0.09946099,0.01341115,0.79763483,failure,recoverPose inliers too low (5 < 20),452,5,0.00000000
7,0.14256973,0.02676466,0.99394111,success,,474,41,0.20142699
8,0.30210488,0.14062413,1.03620006,success,,507,427,0.20050253
9,0.30210488,0.14062413,1.03620006,failure,recoverPose inliers too low (1 < 20),489,1,0.00000000
10,0.37069029,0.15423437,1.22186911,success,,475,59,0.19839907
11,0.56439564,0.17455129,1.25307344,success,,489,440,0.19725174
12,0.55918875,0.17511709,1.44906659,success,,494,53,0.19606311
13,0.57365530,0.16239316,1.64296230,success,,542,62,0.19485053
14,0.75468461,0.13164894,1.70441373,success,,519,461,0.19363135
15,0.75468461,0.13164894,1.70441373,failure,recoverPose inliers too low (15 < 20),532,15,0.00000000
16,0.94245528,0.13721835,1.74024848,success,,601,521,0.19124061
17,0.75486308,0.10897244,1.75248076,success,,582,510,0.19010075
18,0.79285409,0.10656656,1.93762484,success,,583,67,0.18901702
19,0.82053989,0.08586282,2.12242083,success,,608,26,0.18800188
20,0.78982080,0.07882326,2.30681299,success,,626,70,0.18706599
21,0.61231012,0.12662901,2.33650694,success,,664,579,0.18621805
22,0.64698418,0.10594997,2.51752416,success,,650,44,0.18546468
23,0.66939153,0.10475939,2.70096730,success,,677,70,0.18481042
24,0.68028468,0.08127039,2.88339682,success,,666,58,0.18425776
25,0.67655916,0.06241432,3.06619632,success,,661,68,0.18380720
26,0.71153957,0.03606515,3.24435001,success,,664,83,0.18345748
27,0.71153957,0.03606515,3.24435001,failure,recoverPose inliers too low (0 < 20),678,0,0.00000000
28,0.72218966,0.02632058,3.42682772,success,,654,60,0.18304780
29,0.74706166,0.01098813,3.60745836,success,,672,29,0.18297849
30,0.72119948,-0.01909964,3.78609735,success,,642,37,0.18299185
31,0.67270506,-0.03820503,3.96160270,success,,615,57,0.18308154
32,0.66916005,-0.08042452,4.13987845,success,,650,22,0.18324108
33,0.64024774,-0.08217097,4.32104166,success,,636,125,0.18346412
34,0.63140632,-0.11362484,4.50185809,success,,642,44,0.18374465
35,0.59834164,-0.14124280,4.68082293,success,,631,54,0.18407726
36,0.58439258,-0.18555293,4.85933482,success,,649,26,0.18445720
37,0.54356899,-0.21682888,5.03691876,success,,632,50,0.18488052
38,0.50459434,-0.23048053,5.21760366,success,,591,106,0.18534407
39,0.44786327,-0.24524438,5.39396173,success,,598,65,0.18584551
40,0.40536720,-0.28753746,5.57043861,success,,618,29,0.18638323
41,0.34820817,-0.31130513,5.74684887,success,,583,54,0.18695624
42,0.29200256,-0.33756054,5.92385690,success,,616,51,0.18756401
43,0.24517166,-0.34987276,6.10572744,success,,598,80,0.18820632
44,0.17124694,-0.35488336,6.27947097,success,,633,88,0.18888299
45,0.10163823,-0.36742203,6.45537777,success,,644,53,0.18959376
46,0.08952072,-0.37161905,6.64528326,success,,615,100,0.19033798
47,-0.09767473,-0.39523445,6.67569566,success,,630,580,0.19111446
48,-0.15091037,-0.39383222,6.86008053,success,,616,68,0.19192129
49,-0.34010205,-0.41586659,6.88967293,success,,588,536,0.19275559
50,-0.42181582,-0.43603798,7.06403505,success,,608,29,0.19361347
51,-0.28739321,-0.40514879,7.20115814,success,,601,458,0.19448991
52,-0.28739321,-0.40514879,7.20115814,failure,recoverPose inliers too low (3 < 20),570,3,0.00000000
53,-0.48132292,-0.43538353,7.20109306,success,,573,509,0.19627246
54,-0.54173787,-0.43462927,7.38876986,success,,559,61,0.19716267
55,-0.57540572,-0.41963305,7.58334979,success,,519,69,0.19803979
56,-0.55310720,-0.41008138,7.78075831,success,,504,45,0.19889340
57,-0.54793982,-0.40345963,7.98029394,success,,480,54,0.19971233
58,-0.48872025,-0.38440588,8.17088305,success,,503,23,0.20048494
59,-0.54574854,-0.39079536,8.36372521,success,,481,47,0.20119929
60,-0.71226090,-0.31334038,8.44748158,success,,472,406,0.20184343
61,-0.65374204,-0.32396264,8.64095188,success,,456,47,0.20240565
62,-0.65406844,-0.32308033,8.84382446,success,,448,53,0.20287476
63,-0.69353940,-0.30818540,9.04263798,success,,455,70,0.20324033
64,-0.74762201,-0.29302500,9.23822588,success,,441,49,0.20349298
65,-0.74762201,-0.29302500,9.23822588,failure,recoverPose inliers too low (10 < 20),413,10,0.00000000
66,-0.92551963,-0.20046391,9.27357404,success,,432,362,0.20362861
67,-0.86587932,-0.19599994,9.07906083,success,,390,39,0.20350008
68,-0.90979046,-0.19141123,9.27744337,success,,412,56,0.20323601
69,-0.95055922,-0.19252597,9.47613628,success,,448,45,0.20283542
70,-0.97039957,-0.18527300,9.67732977,success,,427,47,0.20229944
71,-0.97625757,-0.15368588,9.87638547,success,,421,62,0.20163144
72,-0.97625757,-0.15368588,9.87638547,failure,recoverPose inliers too low (5 < 20),415,5,0.00000000
73,-1.12306758,-0.01849396,9.88820041,success,,406,329,0.19992406
74,-1.13868005,-0.02009611,10.08648285,success,,423,49,0.19890260
75,-1.12226189,-0.04749380,10.28167162,success,,445,39,0.19778484
76,-1.16644216,-0.03943815,10.47305824,success,,465,66,0.19658491
77,-1.16594199,-0.01592522,10.66695591,success,,477,25,0.19531875
78,-1.16594199,-0.01592522,10.66695591,failure,recoverPose inliers too low (19 < 20),439,19,0.00000000
79,-1.18401984,-0.02622607,10.85848806,success,,449,77,0.19265898
80,-1.24217559,-0.01816882,11.04055988,success,,454,46,0.19130384
81,-1.24217559,-0.01816882,11.04055988,failure,recoverPose inliers too low (12 < 20),510,12,0.00000000
82,-1.28392425,-0.01413524,11.22448203,success,,500,85,0.18864405
83,-1.32615414,-0.01758857,11.40700869,success,,504,65,0.18738002
84,-1.37582920,-0.02908024,11.58607736,success,,527,66,0.18618609
85,-1.40115703,-0.03725794,11.76923419,success,,537,90,0.18508051
86,-1.41190485,-0.05134603,11.95245930,success,,541,86,0.18407996
87,-1.45614118,-0.05243864,12.13023396,success,,582,104,0.18319901
88,-1.36874928,-0.06728368,12.28970259,success,,563,38,0.18244989
89,-1.40736629,-0.08400765,12.46660816,success,,583,86,0.18184209
90,-1.41282130,-0.09790569,12.64737481,success,,597,79,0.18138217
91,-1.42171344,-0.11257808,12.82763387,success,,622,74,0.18107369
92,-1.41745171,-0.13086932,13.00757349,success,,611,74,0.18091710
93,-1.44063639,-0.17056868,13.18254441,success,,608,61,0.18090990
94,-1.42480353,-0.18951988,13.36189911,success,,609,94,0.18104677
95,-1.40444925,-0.22390427,13.53876153,success,,551,63,0.18131988
96,-1.38090765,-0.25553138,13.71615202,success,,575,65,0.18171919
97,-1.35308735,-0.30087868,13.89044626,success,,558,55,0.18223290
98,-1.32976417,-0.32582650,14.07007631,success,,559,87,0.18284780
99,-1.29430775,-0.35480564,14.24782217,success,,543,83,0.18354983
100,-1.24860978,-0.41363567,14.41642294,success,,531,28,0.18432443
101,-1.18322718,-0.41427406,14.58965057,success,,545,46,0.18515697
102,-1.15186434,-0.40431048,14.77275011,success,,522,35,0.18603318
103,-1.07997549,-0.45857016,14.93656169,success,,501,137,0.18693944
104,-1.07997549,-0.45857016,14.93656169,failure,recoverPose inliers too low (5 < 20),488,5,0.00000000
105,-1.00929617,-0.48430601,15.10972269,success,,494,32,0.18879256
106,-0.84716323,-0.58268534,15.10450438,success,,476,403,0.18971773
107,-0.84716323,-0.58268534,15.10450438,failure,recoverPose inliers too low (7 < 20),438,7,0.00000000
108,-0.79861337,-0.61644863,15.28666754,success,,458,85,0.19152145
109,-0.73906691,-0.52937386,15.44755538,success,,468,60,0.19238683
110,-0.67892633,-0.54849709,15.63018050,success,,480,73,0.19322143
111,-0.63480431,-0.57979323,15.81650910,success,,477,67,0.19402204
112,-0.59112428,-0.59324284,16.00585787,success,,465,77,0.19478653
113,-0.54597060,-0.63948176,16.19038087,success,,422,61,0.19551376
114,-0.46402864,-0.68100389,16.36375090,success,,398,54,0.19620331
115,-0.41203019,-0.69307743,16.55323018,success,,387,62,0.19685530
116,-0.41203019,-0.69307743,16.55323018,failure,recoverPose inliers too low (6 < 20),374,6,0.00000000
117,-0.36698310,-0.69997648,16.74596404,success,,394,61,0.19804842
118,-0.28079643,-0.69912149,16.92487554,success,,364,78,0.19859052
119,-0.20197041,-0.71900444,17.10661871,success,,385,45,0.19909660
