metric,value
num_frames,120
num_pairs,119
success_pairs,106
failed_pairs,13
mean_good_matches,528.781512605042
gt_scale_used,1
mean_position_error,2.5919277926225557
final_position_error,4.3436365996589
failure_reason_counts,recoverPose inliers too low (0 < 20):1; recoverPose inliers too low (1 < 20):1; recoverPose inliers too low (10 < 20):1; recoverPose inliers too low (12 < 20):1; recoverPose inliers too low (15 < 20):1; recoverPose inliers too low (17 < 20):1; recoverPose inliers too low (19 < 20):1; recoverPose inliers too low (3 < 20):1; recoverPose inliers too low (5 < 20):3; recoverPose inliers too low (6 < 20):1; recoverPose inliers too low (7 < 20):1
