frame_prev,frame_curr,kp_prev,kp_curr,good_matches,essential_inliers,pose_inliers,scale,status,reason
0,1,1500,1500,447,366,46,0.20441565,success,
1,2,1500,1500,424,343,33,0.20426578,success,
2,3,1500,1500,441,351,17,0.00000000,failure,recoverPose inliers too low (17 < 20)
3,4,1500,1500,439,370,63,0.20352797,success,
4,5,1500,1500,455,371,49,0.20295138,success,
5,6,1500,1500,452,402,5,0.00000000,failure,recoverPose inliers too low (5 < 20)
6,7,1500,1500,474,415,41,0.20142699,success,
7,8,1500,1500,507,427,427,0.20050253,success,
8,9,1500,1500,489,427,1,0.00000000,failure,recoverPose inliers too low (1 < 20)
9,10,1500,1500,475,417,59,0.19839907,success,
10,11,1500,1500,489,440,440,0.19725174,success,
11,12,1500,1500,494,442,53,0.19606311,success,
12,13,1500,1500,542,473,62,0.19485053,success,
13,14,1500,1500,519,461,461,0.19363135,success,
14,15,1500,1500,532,469,15,0.00000000,failure,recoverPose inliers too low (15 < 20)
15,16,1500,1500,601,521,521,0.19124061,success,
16,17,1500,1500,582,510,510,0.19010075,success,
17,18,1500,1500,583,535,67,0.18901702,success,
18,19,1500,1500,608,550,26,0.18800188,success,
19,20,1500,1500,626,561,70,0.18706599,success,
20,21,1500,1500,664,579,579,0.18621805,success,
21,22,1500,1500,650,585,44,0.18546468,success,
22,23,1500,1500,677,640,70,0.18481042,success,
23,24,1500,1500,666,626,58,0.18425776,success,
24,25,1500,1500,661,604,68,0.18380720,success,
25,26,1500,1500,664,609,83,0.18345748,success,
26,27,1500,1500,678,605,0,0.00000000,failure,recoverPose inliers too low (0 < 20)
27,28,1500,1500,654,596,60,0.18304780,success,
28,29,1500,1500,672,589,29,0.18297849,success,
29,30,1500,1500,642,565,37,0.18299185,success,
30,31,1500,1500,615,561,57,0.18308154,success,
31,32,1500,1500,650,581,22,0.18324108,success,
32,33,1500,1500,636,579,125,0.18346412,success,
33,34,1500,1500,642,584,44,0.18374465,success,
34,35,1500,1500,631,575,54,0.18407726,success,
35,36,1500,1500,649,582,26,0.18445720,success,
36,37,1500,1500,632,567,50,0.18488052,success,
37,38,1500,1500,591,516,106,0.18534407,success,
38,39,1500,1500,598,527,65,0.18584551,success,
39,40,1500,1500,618,558,29,0.18638323,success,
40,41,1500,1500,583,526,54,0.18695624,success,
41,42,1500,1500,616,559,51,0.18756401,success,
42,43,1500,1500,598,544,80,0.18820632,success,
43,44,1500,1500,633,568,88,0.18888299,success,
44,45,1500,1500,644,593,53,0.18959376,success,
45,46,1500,1500,615,559,100,0.19033798,success,
46,47,1500,1500,630,582,580,0.19111446,success,
47,48,1500,1500,616,581,68,0.19192129,success,
48,49,1500,1500,588,536,536,0.19275559,success,
49,50,1500,1500,608,564,29,0.19361347,success,
50,51,1500,1500,601,533,458,0.19448991,success,
51,52,1500,1500,570,516,3,0.00000000,failure,recoverPose inliers too low (3 < 20)
52,53,1500,1500,573,509,509,0.19627246,success,
53,54,1500,1500,559,493,61,0.19716267,success,
54,55,1500,1500,519,471,69,0.19803979,success,
55,56,1500,1500,504,427,45,0.19889340,success,
56,57,1500,1500,480,399,54,0.19971233,success,
57,58,1500,1500,503,433,23,0.20048494,success,
58,59,1500,1500,481,412,47,0.20119929,success,
59,60,1500,1500,472,407,406,0.20184343,success,
60,61,1500,1500,456,385,47,0.20240565,success,
61,62,1500,1500,448,354,53,0.20287476,success,
62,63,1500,1500,455,380,70,0.20324033,success,
63,64,1500,1500,441,365,49,0.20349298,success,
64,65,1500,1500,413,324,10,0.00000000,failure,recoverPose inliers too low (10 < 20)
65,66,1500,1500,432,362,362,0.20362861,success,
66,67,1500,1500,390,335,39,0.20350008,success,
67,68,1500,1500,412,338,56,0.20323601,success,
68,69,1500,1500,448,346,45,0.20283542,success,
69,70,1500,1500,427,352,47,0.20229944,success,
70,71,1500,1500,421,338,62,0.20163144,success,
71,72,1500,1500,415,336,5,0.00000000,failure,recoverPose inliers too low (5 < 20)
72,73,1500,1500,406,331,329,0.19992406,success,
73,74,1500,1500,423,333,49,0.19890260,success,
74,75,1500,1500,445,348,39,0.19778484,success,
75,76,1500,1500,465,377,66,0.19658491,success,
76,77,1500,1500,477,389,25,0.19531875,success,
77,78,1500,1500,439,378,19,0.00000000,failure,recoverPose inliers too low (19 < 20)
78,79,1500,1500,449,358,77,0.19265898,success,
79,80,1500,1500,454,405,46,0.19130384,success,
80,81,1500,1500,510,447,12,0.00000000,failure,recoverPose inliers too low (12 < 20)
81,82,1500,1500,500,440,85,0.18864405,success,
82,83,1500,1500,504,457,65,0.18738002,success,
83,84,1500,1500,527,462,66,0.18618609,success,
84,85,1500,1500,537,485,90,0.18508051,success,
85,86,1500,1500,541,486,86,0.18407996,success,
86,87,1500,1500,582,542,104,0.18319901,success,
87,88,1500,1500,563,495,38,0.18244989,success,
88,89,1500,1500,583,537,86,0.18184209,success,
89,90,1500,1500,597,552,79,0.18138217,success,
90,91,1500,1500,622,582,74,0.18107369,success,
91,92,1500,1500,611,558,74,0.18091710,success,
92,93,1500,1500,608,543,61,0.18090990,success,
93,94,1500,1500,609,553,94,0.18104677,success,
94,95,1500,1500,551,484,63,0.18131988,success,
95,96,1500,1500,575,512,65,0.18171919,success,
96,97,1500,1500,558,491,55,0.18223290,success,
97,98,1500,1500,559,479,87,0.18284780,success,
98,99,1500,1500,543,471,83,0.18354983,success,
99,100,1500,1500,531,460,28,0.18432443,success,
100,101,1500,1500,545,469,46,0.18515697,success,
101,102,1500,1500,522,440,35,0.18603318,success,
102,103,1500,1500,501,425,137,0.18693944,success,
103,104,1500,1500,488,390,5,0.00000000,failure,recoverPose inliers too low (5 < 20)
104,105,1500,1500,494,429,32,0.18879256,success,
105,106,1500,1500,476,405,403,0.18971773,success,
106,107,1500,1500,438,379,7,0.00000000,failure,recoverPose inliers too low (7 < 20)
107,108,1500,1500,458,374,85,0.19152145,success,
108,109,1500,1500,468,364,60,0.19238683,success,
109,110,1500,1500,480,411,73,0.19322143,success,
110,111,1500,1500,477,405,67,0.19402204,success,
111,112,1500,1500,465,387,77,0.19478653,success,
112,113,1500,1500,422,342,61,0.19551376,success,
113,114,1500,1500,398,330,54,0.19620331,success,
114,115,1500,1500,387,322,62,0.19685530,success,
115,116,1500,1500,374,325,6,0.00000000,failure,recoverPose inliers too low (6 < 20)
116,117,1500,1500,394,326,61,0.19804842,success,
117,118,1500,1500,364,321,78,0.19859052,success,
118,119,1500,1500,385,338,45,0.19909660,success,
